OTHERS	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	
Japan	0.0495245642	0.0455430128	0.0444274224	0.0429005315	0.0427154844	0.0450245933	0.0453363062	0.0448148148	0.0444773907	0.0459854015	0.0443223443	0.045323741	0.0458152958	0.0440801457	0.042694148	0.0439680233	0.0410958904	0.0405017921	0.0409690061	0.0410861022	0.0414847162	0.0401706363	0.0417551309	0.0428015564	0.0409090909	0.0417536534	0.0431928127	0.043167913	0.043112159	0.0420624152	0.0426184794	0.0428280082	0.0407115977	0.0416098226	0.0414383562	0.0422297297	0.0422199523	0.0425311203	0.0410911602	0.0424577149	0.0418975069	0.0424561404	0.0429577465	0.0429880197	0.0428925913	0.043258832	0.0423035905	0.043255132	0.0408086859	 
Jordan	0.0209026128	0.0125932836	0.0143054915	0.0162913273	0.0120481928	0.0096685083	0.0127388535	0.013799448	0.0154195011	0.0101946247	0.0155180283	0.0141746685	0.010261194	0.0120147874	0.0070290534	0.0149779736	0.0085324232	0.0147965475	0.0084168337	0.0204966496	0.0170015456	0.0231570822	0.018684313	0.0269023828	0.0162202942	0.0214477212	0.0165725047	0.0123595506	0.0128787879	0.014801444	0.012398158	0.0179028133	0.0183418929	0.0140737923	0.0160148976	0.0135440181	0.0196578085	0.0267889908	0.015436747	0.024587156	0.0176180409	0.0214358625	0.0152746181	0.0189041974	0.0163566389	0.0174547763	0.0153747598	0.0155945419	0.0177247825	 
Kazakhstan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014144272	0.0010327022	0.0010405827	0.0014089468	0.001048218	0.0007005254	0.0014673514	0.0010932945	0.0010695187	0.0013855213	0.0017070673	0.0023688663	0.002019522	0.0019953442	0.0022928267	0.0024914357	0.0028671551	0.0031847134	 
Kenya	0.008853475	0.0083996463	0.0083526682	0.0086324398	0.0077720207	0.0086617583	0.0087145969	0.007330746	0.0075949367	0.0073656846	0.0077955825	0.0097664544	0.0095320624	0.0103448276	0.0107944732	0.0106428267	0.0105887336	0.0105618927	0.008650519	0.0078568311	0.0048651039	0.0022241993	0.0022737608	0.0049261084	0.0045892611	0.0045085663	0.0046926326	0.0053320407	0.0052910053	0.0039331367	0.0060180542	0.0036250647	0.0042328042	0.0058708415	0.0058365759	0.0063291139	0.0064580229	0.0073349633	0.0091170825	0.0088148874	0.0097040272	0.0064484127	0.0059820538	0.0064516129	0.0055813953	0.0055839926	0.0066889632	0.006217121	0.0083682008	 
Kiribati	0.3118811881	0.2987634623	0.2890035728	0.2832483327	0.2822230981	0.2732513451	0.2624535316	0.2604722011	0.26013772	0.2514880952	0.2448979592	0.2398563734	0.2317880795	0.2337482711	0.2307692308	0.2339160839	0.2383867483	0.2310659187	0.2230533832	0.2218382861	0.2279700321	0.224911032	0.2332838039	0.2384328358	0.2280373832	0.2209838586	0.2141476614	0.2011627907	0.2129083038	0.2034351145	0.1805453206	0.1875229358	0.196679899	0.2018004501	0.190765927	0.2005813953	0.2093444404	0.2011980268	0.2012578616	0.2024647887	0.2009021513	0.2032235459	0.2026462396	0.202612072	0.1984993179	0.2017241379	0.2030981067	0.2068846816	0.2047619048	 
Kuwait	0.0035942492	0.0039231071	0.0045155993	0.0050920486	0.0066692821	0.0159574468	0.0157571099	0.0190912562	0.0144474815	0.0105551212	0.0128307939	0.0082514735	0.00723182	0.0108651911	0.0059429477	0.0098113208	0.0088235294	0.0107066381	0.0076071923	0.0109476565	0.0120399037	0.0116588941	0.0113712375	0.012378722	0.0127586207	0.011548913	0.0107095047	0.0116201859	0.0127659574	0.009556907	0.0047543582	0.0090826521	0.0113452188	0.010992786	0.0109752273	0.0111111111	0.0132970686	0.0114148393	0.0109824874	0.0099212139	0.0083597579	0.0087591241	0.0071818443	0.0074605452	0.0087545891	0.0084578517	0.0147142049	0.0082904517	0.009556907	 
Kyrgyzstan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0004024145	0.000382263	0.0003665689	0.0003636364	0.0003692762	0.0003675119	0.0003699593	0.0003599712	 
Lao PDR	0.0046153846	0.0041601664	0.0046248715	0.0045180723	0.0044709389	0.0044269552	0.0044313146	0.0044226044	0.0045454545	0.0049554014	0.0049603175	0.0055027514	0.0055304173	0.0056381343	0.0041386446	0.0041173443	0.0064229249	0.0076452599	0.0082772892	0.0082135524	0.0087313816	0.0091743119	0.0082987552	0.0089567966	0.0047443332	0.0052083333	0.0077160494	0.0063626723	0.00782881	0.0094952524	0.0090955028	0.0118191161	0.0102669405	0.0116337886	0.0122013218	0.0138682516	0.0138476756	0.0142857143	0.0133862172	0.0133651551	0.0120889749	0.0127840909	0.0120537784	0.0151029748	0.0222123501	0.021038496	0.0212201592	0.0220422852	0.0222707424	 
Latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003063725	0.0015797788	0.0016297262	0.0020033389	0.0037722908	0.0045710267	0.0042164441	0.0046678636	0.0045091918	0.0050454087	0.0052822714	0.0048828125	0.0050971647	0.0062111801	0.0068728522	0.0061425061	0.004287902	 
Lebanon	0.0235829541	0.0199025183	0.0164812526	0.0207485761	0.018615945	0.0166666667	0.0135458167	0.0191331511	0.0147117296	0.0147763578	0.0163476874	0.0168	0.0196078431	0.0180144115	0.01724846	0.0158343484	0.0198624905	0.0176691729	0.0150018295	0.0156139106	0.0125493008	0.0118508191	0.0065068493	0.0081604896	0.0112820513	0.0118966689	0.0183578104	0.0173187941	0.0176579926	0.0204460967	0.0195838433	0.025577812	0.0203452528	0.0210494204	0.0183038438	0.0197029403	0.0233658681	0.0242460083	0.024260355	0.0392630625	0.03165511	0.0412997267	0.0281162137	0.0323390895	0.0288369112	0.0340025907	0.0319014529	0.0215019255	0.0253205128	 
Lesotho	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 
Liberia	0.0198314328	0.0194269063	0.0144724556	0.0138632163	0.0139340455	0.0131004367	0.0136923779	0.0129233512	0.0136986301	0.0121899958	0.0117694805	0.0123404255	0.0122002524	0.0125733445	0.0132860939	0.0129815745	0.0122820919	0.0119617225	0.012137823	0.0121506683	0.0120048019	0.0113904163	0.0115416323	0.011691023	0.0111432109	0.0108390205	0.0124548011	0.0120061967	0.0123409179	0.0204366001	0.0111731844	0.019806338	0.0148112757	0.0161290323	0.0175529169	0.0195272354	0.0164705882	0.0161213845	0.0175353142	0.0139826422	0.0133465151	0.0131195335	0.0137322217	0.0139222276	0.013844024	0.0117980179	0.0119375574	0.0111160516	0.0094043887	 
Libya	0.0032299742	0.0083386786	0.0085731782	0.0060204696	0.0207748456	0.0239583333	0.0228628231	0.0217699953	0.0193816336	0.0229885057	0.0210752688	0.0211970075	0.0189366351	0.0179063361	0.0174029451	0.0160153748	0.0146403565	0.0149439601	0.0169857937	0.0153988297	0.015128593	0.0169082126	0.0167264038	0.0155440415	0.0147874307	0.01659496	0.0139017609	0.0128715906	0.0159607121	0.0118325243	0.01299103	0.0143123833	0.0127646326	0.0142370783	0.0177183712	0.0154273372	0.0142591445	0.016593613	0.0219711237	0.0181476846	0.0175328741	0.0151515152	0.0137887809	0.0155520995	0.0131992458	0.0126502214	0.0131373162	0.0121836926	0.010951189	 
Lithuania	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00215905	0.0024805103	0.00333667	0.0044122282	0.0047125353	0.003847387	0.0034920635	0.0039877301	0.004898959	0.0056550424	0.0050670641	0.0054976852	0.0060799074	0.0053430821	0.0054535017	0.0037735849	 
Luxembourg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0033984707	0.0022497188	0.001980198	0.0022547914	0.0025423729	0.0028208745	0.0039414414	0.0028208745	0.0036537381	0.0042337003	 
Macedonia (TFYR)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0088757396	0.0090712743	0.008566108	0.012412723	0.0100619195	0.0079479769	0.0045311955	0.0157536699	0.0145560408	0.0163435956	0.0276141384	0.0157048941	0.0174094708	0.017606899	0.017624251	0.0152722444	0.0161997975	0.0176138252	 
Madagascar	0.0115416323	0.0116812683	0.0126427406	0.0139609095	0.0136765889	0.0139458573	0.0133441165	0.0118530225	0.0141788106	0.013988809	0.01361338	0.0146360759	0.0140280561	0.0129310345	0.0130126183	0.011996904	0.0117694805	0.0118270799	0.0091514143	0.0094923648	0.009864365	0.0106571936	0.0091324201	0.008797654	0.0088346655	0.0088495575	0.0087565674	0.0078089113	0.0086996337	0.0063985375	0.0076445294	0.0062082139	0.0066985646	0.0054240631	0.0054401583	0.0069444444	0.0064452157	0.005973121	0.0065	0.0064935065	0.0065326633	0.0077120823	0.0060790274	0.0055639858	0.005842259	0.0057775638	0.0052631579	0.0053501946	0.003874092	 
Malawi	0.0988574267	0.0875621891	0.0830564784	0.0870153291	0.0816688859	0.0900134348	0.0598173516	0.0702917772	0.0616621984	0.0656436488	0.0878434638	0.078680203	0.0668592654	0.0618770764	0.0593184687	0.055250949	0.0635665529	0.0677600345	0.06142289	0.0522287258	0.062804069	0.0653999116	0.036624942	0.0415659739	0.0375	0.0475247525	0.0496240602	0.028457314	0.0195473251	0.0088912134	0.0094093048	0.0116666667	0.0058541778	0.0068421053	0.0074812968	0.005955335	0.0097323601	0.0080416272	0.0114678899	0.0167876588	0.0219337511	0.027598896	0.027700831	0.0263401109	0.0292104062	0.0317320405	0.0383776712	0.0357912893	0.0406750325	 
Malaysia	0.0369294606	0.0345679012	0.0339052288	0.035566584	0.0347826087	0.035655058	0.0354931903	0.0342880194	0.0310290652	0.0314075223	0.0313616514	0.0341310318	0.0334486736	0.032245827	0.034695451	0.0336648814	0.0341555977	0.0337584396	0.0318681319	0.0315103223	0.0338921283	0.0296052632	0.0329471398	0.0274269217	0.0311327832	0.0301772916	0.0310940499	0.0324799389	0.0316673026	0.0314513073	0.0314155942	0.0326205147	0.0304987442	0.0325318246	0.0306262904	0.0308853809	0.026179814	0.0291666667	0.0299689976	0.0295983087	0.0298295455	0.0303468208	0.0211393766	0.0212539851	0.0201294033	0.0179147259	0.0219546742	0.022751896	0.0183680678	 
Maldives	0.0330524951	0.0320924262	0.0327974277	0.0323206206	0.0304692261	0.0292537313	0.0294117647	0.0296208531	0.0295683028	0.0278093076	0.0280963303	0.0285714286	0.0264171712	0.0266370699	0.0265536723	0.0247498684	0.0244664237	0.0233019336	0.0221176471	0.020898177	0.0206502636	0.0203023758	0.0205240175	0.0200785683	0.0200348432	0.0197002141	0.0204081633	0.020131291	0.0201646091	0.0201842914	0.0199236965	0.0199490662	0.0194939859	0.0195374801	0.0206953642	0.0202312139	0.0213210702	0.0214787278	0.021396851	0.0222222222	0.0235294118	0.0241157556	0.0282700422	0.0253378378	0.0213289582	0.007585335	0.0068631409	0.0070810386	0.0162287481	 
Mali	0.0158150852	0.0117647059	0.0164212911	0.0157342657	0.0164802825	0.0111502347	0.0109007458	0.0080515298	0.0103626943	0.0127226463	0.0140433002	0.0125523013	0.0115151515	0.0140056022	0.0182501342	0.0190943808	0.01995439	0.0144665461	0.0119386015	0.0131108462	0.0124843945	0.0105849582	0.0080598733	0.0043478261	0.0057251908	0.0063319765	0.0063549705	0.0101608806	0.0084602369	0.0095913261	0.0096964587	0.0067940552	0.0076726343	0.012012012	0.008974359	0.0071699705	0.0089020772	0.0086562242	0.0106122449	0.0110159119	0.0108	0.0120192308	0.0127084988	0.0102281668	0.0116731518	0.0139464757	0.0128534704	0.012972973	0.0070472163	 
Malta	0.0060134418	0.0084299262	0.0078740157	0.0060687795	0.0059152152	0.0047185709	0.0090573633	0.0057933698	0.007362356	0.0044886181	0.0057397959	0.0073482428	0.0048669695	0.0049003594	0.0056074766	0.0048825145	0.0067754851	0.0052664188	0.0084322299	0.0083591331	0.0059955822	0.0055392636	0.006478782	0.0090604027	0.008513425	0.0054850874	0.0122192867	0.0086069493	0.0091598231	0.011589404	0.0101233787	0.0128040973	0.0112179487	0.009813232	0.0122399021	0.0094339623	0.0100243013	0.0116836429	0.011589896	0.0114423366	0.0129129129	0.0126088262	0.0116175156	0.0118941421	0.0110911271	0.0136986301	0.0119331742	0.013185496	0.0121589561	 
Mauritania	0.0116487455	0.0118020881	0.0115101289	0.0115848007	0.0126820103	0.0120930233	0.0123398196	0.0123809524	0.0120307988	0.0126646403	0.012345679	0.0106609808	0.0073855244	0.0074925075	0.0168367347	0.0110998991	0.011437096	0.0110258869	0.009896091	0.0104612458	0.0098916627	0.0101616628	0.0089722675	0.0094611271	0.0093877551	0.0098441345	0.009704812	0.0097126669	0.0092369478	0.0091633466	0.0092073659	0.0087370929	0.0073500967	0.0080482897	0.0082938389	0.0089773614	0.0069659443	0.0069018405	0.0068571429	0.0072215887	0.0045906656	0.0049261084	0.0047952785	0.0053887606	0.0049429658	0.0057295646	0.0051039008	0.0050053629	0.0039327851	 
Mauritius	0.004222973	0.0045738046	0.0050825921	0.0058798824	0.0061028771	0.0068787618	0.0065674256	0.005711775	0.0058690745	0.00554371	0.0038006757	0.0067510549	0.0067311737	0.0111662531	0.0072845002	0.0044354839	0.0059148265	0.0054074932	0.006784772	0.0076394194	0.0100783875	0.0110308102	0.0119184929	0.0136260409	0.0134228188	0.0138282387	0.0105377907	0.0113221329	0.0112686296	0.0136641496	0.0132997843	0.012125535	0.0086268871	0.0145184136	0.0131670132	0.0136220747	0.0134895279	0.0126315789	0.0119131044	0.0127850726	0.0122282609	0.011900714	0.012546626	0.0126120146	0.0140093396	0.0139257294	0.0140156454	0.0147157191	0.0138174807	 
Mexico	0.0104347826	0.0091943958	0.0095652174	0.009787234	0.0084423808	0.0095317033	0.0077330077	0.0080192462	0.0123505976	0.0133963751	0.0122336227	0.0108864697	0.0099388379	0.0087220326	0.0088462956	0.0081845238	0.0066030814	0.0120996441	0.0063224447	0.008	0.0082908163	0.0079821201	0.0086872587	0.0082047916	0.0080723281	0.0052407468	0.0040705563	0.0053138492	0.0057104468	0.0043756311	0.0073627845	0.0063291139	0.00499002	0.0059960027	0.0060749241	0.0073578595	0.007751938	0.0090878492	0.010738255	0.0098716683	0.0087605451	0.0070944856	0.0077220077	0.0093397746	0.0078380144	0.0074748131	0.0090468498	0.0084718149	0.0085978836	 
Moldova	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0004019293	0.0004084967	0.0008149959	0.0004066694	0.0004033885	0.0008006405	0.0011890606	0.0019493177	0.0023510972	0.0023255814	0.0026646365	0.0025983667	0.0029271862	0.0032490975	0.0025207058	 
Mongolia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0004512635	0.0004496403	0.0004514673	0.0008988764	0.000444247	0.0004376368	0.000427899	0.0008449514	0.0008183306	 
Montenegro	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0041911148	0.0047446274	0.0052012045	0.0055788006	 
Morocco	0.0034146341	0.0033832769	0.0033783784	0.0037435657	0.0036832413	0.0038167939	0.0037261295	0.0035810206	0.0034100597	0.002994012	0.0028794735	0.0029009532	0.0028688525	0.001996008	0.002675841	0.002746175	0.0042210284	0.0022779043	0.0029553011	0.0015065913	0.0092387288	0.0046813108	0.0047101449	0.0060070671	0.0045406916	0.0040201005	0.0043800539	0.0039370079	0.0046728972	0.0048527984	0.0074918567	0.0079337703	0.0086865879	0.0073357786	0.0054237288	0.0045351474	0.006466214	0.0111040609	0.0146246344	0.0055537406	0.0070603338	0.0031715826	0.0053108404	0.0027590435	0.0043695381	0.0024464832	0.0033856571	0.0033670034	0.0036563071	 
Mozambique	0.014570966	0.0143617021	0.0153424658	0.0208667737	0.0233421751	0.022031166	0.0262734584	0.032474804	0.0306781485	0.0297356828	0.0270413574	0.0294438386	0.0281618024	0.0238473768	0.0265438787	0.0210304942	0.0211611503	0.0201854883	0.0200324851	0.0197123069	0.019326339	0.0182752713	0.0163551402	0.014084507	0.0136314068	0.0146799765	0.0153148043	0.0148188804	0.0154639175	0.0154100165	0.0186154741	0.0153031195	0.0123239437	0.0123820755	0.0230810521	0.0127877238	0.0151057402	0.0184815185	0.0143992056	0.0125	0.0105474636	0.0092818759	0.0071496663	0.0062984496	0.0083129584	0.0056657224	0.0066825776	0.0064486412	0.0055197792	 
Myanmar	0.0242424242	0.0258564964	0.026734564	0.0234857849	0.0225988701	0.0187040748	0.0172987359	0.0225016545	0.0227424749	0.025148908	0.0293159609	0.0274431058	0.0218253968	0.0244215938	0.0228013029	0.0232258065	0.0228281547	0.0234567901	0.0243161094	0.0233558697	0.0235017626	0.0265686829	0.0280269058	0.0269823789	0.0321126761	0.0309101317	0.0326460481	0.0308239478	0.0266666667	0.0265643447	0.0248373743	0.0236266982	0.0241935484	0.0239485981	0.0260033917	0.0274049217	0.0277475517	0.0266739249	0.0256270447	0.0256678889	0.0306905371	0.031984008	0.0355058366	0.037780966	0.0388940956	0.0413260672	0.0425625274	0.0439189189	0.0420833333	 
Namibia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0038797284	0.0024166264	0.0014742015	0.0014977534	0.0025025025	0.0004923683	0.000490918	0.0038722168	0.0024425989	0.0018613309	0.0022401434	0.0031028369	0.0040853382	0.0026833631	0.0026548673	0.0022401434	0.0022512382	0.005893019	0.0061378659	0.0048828125	 
Nepal	0.0022792023	0.0034032898	0.0039750142	0.0044969084	0.0017006803	0.0017281106	0.0017401392	0.0016920474	0.0016787913	0.0011273957	0.0011415525	0.0011594203	0.0011299435	0.0011363636	0.0011855365	0.0011422045	0.0005643341	0.0005524862	0.0005733945	0.0005698006	0.000556483	0.0011428571	0.0010548523	0.0005219207	0.0005162623	0.0005324814	0.0004878049	0.0004474273	0.0004344049	0.000461042	0.0004537205	0.0004531038	0	0	0	0	0	0	0.0004387889	0.0004484305	0	0.0004444444	0.0012975779	0.0008470987	0.0004180602	0.0004224757	0.0004147657	0.0008143322	0.0011942675	 
Netherlands	0.0026341785	0.0026367831	0.0026195154	0.0030010003	0.0026954178	0.0036267722	0.0032520325	0.0036243822	0.004600723	0.0036351619	0.0043074884	0.0039267016	0.0041814088	0.0034987277	0.0050437122	0.0048971596	0.0051679587	0.0048685492	0.0057877814	0.0057989691	0.0046280992	0.0051796698	0.0064998375	0.0057822037	0.00672	0.0076603894	0.0091975896	0.0087118855	0.0085687083	0.0112873703	0.0077681506	0.0105548854	0.0105389943	0.0120593692	0.0107047279	0.0091879075	0.0103943748	0.0074426913	0.0060882801	0.0076593137	0.0089011664	0.0067671486	0.0066857689	0.0075093867	0.0086473132	0.0090174129	0.0094772241	0.0091519219	0.0074028378	 
New Zealand	0.0075213675	0.0074224022	0.0077913279	0.0084602369	0.0084317032	0.0084415584	0.007664112	0.0084146752	0.0114826072	0.0087837838	0.0086035738	0.0114754098	0.0100453662	0.0148722923	0.0095724314	0.0083539604	0.0106007067	0.0102465578	0.0098392916	0.0111002285	0.0120717781	0.0133116883	0.012781702	0.0114118031	0.0138888889	0.0145846544	0.014249525	0.0115347645	0.0126911813	0.0116815247	0.0144836272	0.015408805	0.0152647975	0.0160984848	0.0153605016	0.0151181102	0.0163934426	0.0129664769	0.0151994934	0.0145846544	0.0138263666	0.0150544523	0.0147483168	0.0146636914	0.0148687124	0.0158881474	0.0157133878	0.015298158	0.0162007624	 
Nicaragua	0.001048218	0.0015447992	0.0020460358	0.0014910537	0.0034756703	0.0078316202	0.0062530063	0.0023474178	0.0009633911	0.0014520813	0.0009775171	0.001002004	0.0044378698	0.0045	0.0039467193	0.0034263338	0.0043021033	0.0059464817	0.0122699387	0.0227385072	0.0253402159	0.0119402985	0.0082444229	0.003271028	0.0036985668	0.0036446469	0.0037523452	0.0028395646	0.0067146283	0.0242354299	0.0233592881	0.0156950673	0.020596206	0.02289282	0.0086823289	0.0050761421	0.0056381343	0.0106744299	0.0144857557	0.0141176471	0.0130662021	0.0135786246	0.0142980936	0.0161977835	0.0134059489	0.011676397	0.0122100122	0.014268243	0.0117790414	 
Niger	0.0149068323	0.0284126004	0.0243309002	0.0196195006	0.0184883089	0.0179347826	0.0223841749	0.0175867123	0.0155857215	0.0061255743	0.0052910053	0.0062015504	0.0015037594	0.0090045023	0.0034808553	0.0383325347	0.045971564	0.0164861046	0.0108235294	0.0156682028	0.0124309392	0.012145749	0.0116696589	0.0215794307	0.0244936411	0.0210627094	0.0263157895	0.0064965197	0.0041685966	0.0035149385	0.0095648015	0.0116110305	0.0176643768	0.0141342756	0.0097087379	0.0109575989	0.020699172	0.0215201465	0.0139891697	0.0189084658	0.0248075278	0.0303555941	0.0370678884	0.0399836801	0.0434961018	0.0434604346	0.0492270138	0.0624006359	0.0693893735	 
Nigeria	0.049331963	0.0473840079	0.0459363958	0.0451513597	0.0436867342	0.0415464512	0.03930131	0.0367324561	0.0323741007	0.0291164659	0.0295064378	0.03569268	0.0384615385	0.0314164004	0.0365321701	0.0376497433	0.0354530107	0.0330717489	0.0334293948	0.0312331718	0.0298030867	0.0298666667	0.0301799187	0.0331239292	0.0263157895	0.019441675	0.0177574835	0.019335647	0.0223702999	0.0178000913	0.0132648695	0.013963039	0.0138723742	0.0148059224	0.020703125	0.0278104191	0.0300346554	0.0308336506	0.0315229776	0.0299079755	0.0310107198	0.0311179408	0.031465848	0.0324161327	0.0340236686	0.0374311927	0.03200883	0.0330882353	0.0298452469	 
North Korea	0.0606705695	0.0587309911	0.0545364403	0.0547619048	0.0624040921	0.0610119048	0.0649554741	0.0644155844	0.0592168099	0.0598166908	0.0595521677	0.0600096015	0.0581665891	0.0593385214	0.0563909774	0.05	0.0473372781	0.0482476104	0.0435711235	0.0456412597	0.0405228758	0.0458167331	0.0458579882	0.046882552	0.0487451737	0.0468319559	0.048646168	0.0502819549	0.0479605558	0.0455696203	0.045646661	0.0431654676	0.0360122969	0.0409617097	0.0413694722	0.0422873618	0.0440900563	0.0311320755	0.0293560606	0.034965035	0.0243088656	0.0275103164	0.0196436729	0.0235934664	0.0183486239	0.0163475012	0.0199052133	0.0190930788	0.01627573	 
Norway	0.0010787487	0.0013651877	0.0014265335	0.0013990906	0.0013807387	0.0013368984	0.0013550136	0.0013214404	0.0013342228	0.0013275805	0.0016420361	0.0012965964	0.0016196955	0.0016772895	0.0020222447	0.0018861993	0.0018981335	0.002173913	0.0012273704	0.0014956626	0.0015019525	0.0019077901	0.0022165928	0.0018785222	0.0021950455	0.0021691974	0.0027264465	0.0041626641	0.0040841973	0.0028544244	0.0031046259	0.0031104199	0.0037267081	0.003360831	0.0034172103	0.0042321644	0.004211793	0.0047072668	0.003222971	0.0041518387	0.0046907065	0.0049204052	0.0046633635	0.0043252595	0.0039954338	0.004379562	0.004664723	0.0055232558	0.0049693072	 
Occupied Palestinian Territory	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0034527406	0.0074365704	0.0079086116	0.0096065874	0.0144792153	0.0130414532	0.0230040595	0.0255033557	0.0140081338	0.0094170404	0.0107768298	0.0180009474	0.0174035748	0.0188585608	 
Pakistan	0.0021436227	0.0026014568	0.0025773196	0.002401537	0.0027548209	0.0023889154	0.0019038553	0.001459144	0.0012695726	0.0008507018	0.001321004	0.0008543358	0.0008616975	0.0017233951	0.0017905103	0.0022251891	0.0022241993	0.0017182131	0.0021929825	0.0018231541	0.0018416206	0.0017945267	0.0018009905	0.0013464991	0.0013831259	0.0013876041	0.0009025271	0.0013863216	0.0012744265	0.0021542439	0.0031803726	0.0026121027	0.0043010753	0.0050483803	0.0042265427	0.0058972199	0.0033726813	0.0017115961	0.0021026072	0.0042480884	0.0056892779	0.0049349484	0.0052539405	0.0021635656	0.003008165	0.0021258503	0.0037625418	0.0045814244	0.0045567523	 
Panama	0.0157068063	0.0158415842	0.0163170163	0.0144724556	0.0142721218	0.0120147874	0.0139576767	0.0129464286	0.0119199659	0.0128029264	0.0129645635	0.0146433632	0.0146252285	0.0126368997	0.0130912162	0.0139826422	0.0118997025	0.0136921624	0.0143678161	0.0142925202	0.011622709	0.0118629174	0.0073720729	0.0073244291	0.0077267182	0.0075848303	0.0080249666	0.0150478796	0.0165517241	0.0151853506	0.0104640582	0.0108790252	0.0077054795	0.0076988879	0.0085547051	0.0080071174	0.0078232858	0.0075566751	0.0081781009	0.008490566	0.0062111801	0.0068669528	0.0068056146	0.0071620412	0.0069025022	0.0107434465	0.0130879346	0.0096076861	0.0107956817	 
Paraguay	0	0.0037174721	0.003257329	0.0142222222	0.0136460554	0.0132478632	0.0111349036	0.0112312812	0.011584609	0.0105992662	0.0110294118	0.0111202636	0.0106295993	0.0101378751	0.0100967606	0.0105820106	0.0090551181	0.0088871716	0.0075217736	0.0067061144	0.0118078176	0.0234126984	0.0177444795	0.0176352705	0.0084550346	0.0059429477	0.0090909091	0.0068054444	0.0188679245	0.0169701987	0.0125575555	0.0138713745	0.0118852459	0.0129666012	0.0106677203	0.0090373281	0.0111624326	0.0073217726	0.0208412277	0.0170081175	0.0216318786	0.0194465221	0.0227189447	0.0244821092	0.0192901235	0.0202212896	0.0221531286	0.0217821782	0.0200694712	 
Peru	0.001880583	0.0018665422	0.002016129	0.0018458699	0.0066006601	0.0065451145	0.0061349693	0.0077220077	0.0052015605	0.004564126	0.0035794183	0.0036985668	0.0037986705	0.0037700283	0.0027459954	0.0028261894	0.003874092	0.0046997389	0.0044074437	0.0058737151	0.0059144677	0.0055121727	0.0054397099	0.0025176234	0.0063076177	0.0065245759	0.0070733864	0.0048245614	0.0036781609	0.0024740228	0.004130335	0.0023386342	0.0037140204	0.006808897	0.0072529465	0.0092511013	0.0107434465	0.0128261831	0.0123131047	0.0143824027	0.0146425495	0.0136810603	0.0136084284	0.0122110772	0.0124740125	0.0152263374	0.0158665582	0.0166600555	0.0152641879	 
Philippines	0.0263010632	0.027262181	0.030657748	0.0209944751	0.0069481561	0.0070883315	0.0080601827	0.007616975	0.0070308275	0.011055832	0.0087288598	0.0084343701	0.0080128205	0.006103764	0.0079840319	0.0101991258	0.0075542965	0.0064754857	0.0078232858	0.0074823944	0.0076680198	0.008189263	0.0083251714	0.0088826554	0.0085429521	0.0094250707	0.0088743578	0.0102899906	0.0104025328	0.0115197164	0.0094936709	0.0097995546	0.0113327289	0.012987013	0.0117955439	0.012282931	0.0119504908	0.0109217999	0.0106157113	0.0108968986	0.0105440742	0.0104558762	0.0096274592	0.008954009	0.0097284151	0.0099522293	0.0085669782	0.0077549438	0.0092628329	 
