OTHERS	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	
Bosnia and Herzegovina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003479471	0.0003237294	0.0003306878	0.0006811989	0.0003570154	0.0003450656	0.0037970314	0.0028288543	0.0058441558	0.0042918455	0.0056497175	0.005559189	0.0080984775	0.0064998375	 
Botswana	0.0025303644	0.002093145	0.0020283976	0.0020010005	0.0009975062	0.0025680534	0.0029850746	0.0053684724	0.005958292	0.0044226044	0.0042412818	0.0051546392	0.0050175615	0.0037413148	0.0025667351	0.0020736133	0.0015045135	0.0032017076	0.0009925558	0.0015251652	0.0010070493	0.0009925558	0.0004791567	0.0004533092	0.0004614675	0.0004612546	0.0004582951	0	0.0004741584	0.0013568521	0.0022522523	0.0031905196	0.002905569	0.0050343249	0.0050297211	0.004968383	0.0046232085	0.0033686237	0.0052157421	0.004341534	0.0074453234	0.0100719424	0.0081029552	0.000913242	0.0013648772	0.0009310987	0.0055736182	0.0096551724	0.0202391904	 
Brazil	0.019030358	0.0207139709	0.0218652387	0.021691974	0.0219072165	0.027503223	0.0223534374	0.0276872964	0.0222405272	0.0216576426	0.0226991333	0.0225846926	0.0176470588	0.0137318255	0.0144752714	0.0079459674	0.0078369906	0.0080956052	0.0088888889	0.0081632653	0.0095675469	0.0087121212	0.0084420568	0.008484381	0.0087619048	0.0078387458	0.0081180812	0.0077777778	0.0102078017	0.0103168755	0.0104504505	0.0112034695	0.0108264165	0.0117312478	0.0120996441	0.0123369757	0.0171869519	0.0182520183	0.0199231038	0.0202020202	0.021460713	0.0260006842	0.0254652302	0.0263586072	0.0260756193	0.0246273493	0.0242248062	0.0258920114	0.0227631995	 
Brunei Darussalam	0.0280082988	0.029964449	0.0241691843	0.0171198389	0.0168734491	0.0199909132	0.0193321617	0.0191499299	0.0165474061	0.0174693107	0.0207597173	0.0197883111	0.0214424951	0.01739971	0.0153477218	0.0146710838	0.018207954	0.0281690141	0.0235445205	0.018503937	0.0168654875	0.0215396889	0.0218140069	0.0342793955	0.035355286	0.0293135436	0.0295230886	0.0291262136	0.0317403709	0.0344322344	0.0228658537	0.0209591474	0.0222701149	0.0215877437	0.0159404888	0.0144777663	0.02	0.0223087819	0.0190578928	0.0191128741	0.0183098592	0.0270551509	0.0267433988	0.0224907687	0.0203183204	0.0234295416	0.0195121951	0.023141655	0.025	 
Bulgaria	0.0009469697	0.001244168	0.0015248551	0.0012022843	0.0014658458	0.0017201835	0.0020289855	0.0020301624	0.0020149683	0.0020307514	0.0019863791	0.0020190366	0.0023074704	0.0023174971	0.0028579594	0.0030649206	0.0028555111	0.0028026906	0.0027886224	0.0025090605	0.00300793	0.00357241	0.0030428769	0.0033250208	0.0025034771	0.0062910284	0.0062550993	0.0059459459	0.0096551724	0.0099104859	0.0101873151	0.0102615028	0.0067658999	0.0076601671	0.007941989	0.0076642336	0.0063551402	0.0074494502	0.0076441974	0.0078236131	0.0078291815	0.0086548864	0.0094408134	0.0105072464	0.0106578464	0.0112563544	0.0117302053	0.0137342242	0.0138445154	 
Burkina Faso	0.0883018868	0.0818042813	0.0475206612	0.070096463	0.0687022901	0.068545804	0.0604914934	0.0699562773	0.0517779164	0.0459249677	0.0479317137	0.0411240576	0.0348432056	0.0602327173	0.049833887	0.0472239949	0.0442857143	0.059531349	0.0573134328	0.0441741357	0.0617940199	0.0503597122	0.0617517328	0.0601552393	0.0770121598	0.0832925037	0.0597826087	0.0831683168	0.0603448276	0.0614754098	0.038961039	0.0580786026	0.0813500649	0.0721605465	0.0693493151	0.0787334189	0.0506932409	0.0727113447	0.0683760684	0.0742659758	0.0733590734	0.0913242009	0.0987555199	0.0815021974	0.0576532684	0.0519734271	0.0590318772	0.0731141199	0.0741163056	 
Cabo Verde	0.0382513661	0.0421257291	0.041695147	0.0338345865	0.0421760391	0.033187226	0.0349478847	0.0365150545	0.0324714372	0.0276941601	0.0331325301	0.0240412135	0.0238095238	0.023228112	0.0221316249	0.0233114166	0.0238237046	0.0199125789	0.0197833255	0.0200956938	0.0187416332	0.0194774347	0.0171159606	0.0164348925	0.0157444894	0.0164210526	0.0119829919	0.0116937005	0.0125658695	0.0152219873	0.0132625995	0.0075939249	0.009009009	0.0082406263	0.008722198	0.0078158923	0.0068699012	0.008172043	0.0085324232	0.0099956541	0.0089437819	0.0094299186	0.0091858038	0.0084814216	0.0087128713	0.008624069	0.0095057034	0.0088803089	0.0079575597	 
Cambodia	0.010487677	0.01547492	0.0097938144	0.0204295443	0.0197813639	0.0185854414	0.0168453292	0.0184354758	0.0169154229	0.0134939759	0.018904508	0.0129353234	0.0155279503	0.0158227848	0.0182389937	0.0178217822	0.0150326797	0.010779962	0.0080645161	0.0035735557	0.009009009	0.0077562327	0.0106666667	0.007027027	0.0111731844	0.0123804164	0.0136842105	0.0087674059	0.0095846645	0.0087946198	0.009466866	0.0088539105	0.007909046	0.0063882064	0.005902607	0.0105485232	0.0084656085	0.0070993915	0.0102539063	0.0108953103	0.0101476015	0.014159292	0.0265486726	0.0307827617	0.0327022375	0.0362410451	0.0377516779	0.0379324719	0.0356698465	 
Cameroon	0.0662680618	0.0704365079	0.0697560976	0.0664725861	0.0761758691	0.089197225	0.0833333333	0.0793119924	0.0856610801	0.0944444444	0.0964398378	0.0972037284	0.0822898032	0.0934300341	0.1019878997	0.098013245	0.0715555556	0.0626126126	0.0644158152	0.0660674157	0.0673791822	0.0623836127	0.0525319451	0.0529735132	0.0480863592	0.0328884652	0.0338725986	0.0329048843	0.028014007	0.0295739348	0.033383915	0.0245546461	0.0297829379	0.038038038	0.028358209	0.0309535696	0.0280464217	0.0303907381	0.0348615091	0.0454763045	0.0468603561	0.0443935927	0.0438319024	0.045311799	0.0615989515	0.0572894399	0.0545224007	0.0554414784	0.0541852002	 
Canada	0.0142551675	0.0168835737	0.0148378192	0.0160944206	0.0178082192	0.0164722032	0.0186757216	0.0208475735	0.0181208054	0.0182741117	0.0188162846	0.0201090661	0.022289767	0.0218707941	0.0218902015	0.0218181818	0.0189936688	0.0221994536	0.0208618331	0.0186693822	0.0227664712	0.0192828146	0.0205973223	0.0210843373	0.0210803689	0.02599935	0.025870329	0.0222074909	0.0230263158	0.0264550265	0.0240210596	0.0236016812	0.023069529	0.0246412976	0.0249454319	0.0243151739	0.0233589592	0.022945106	0.0220883534	0.0199771689	0.0179743224	0.0187021819	0.0203966006	0.0226244344	0.020303117	0.0229753016	0.0203905801	0.0243337196	0.021282885	 
Central African Republic	0.0252771619	0.0334236676	0.0321079572	0.0350047304	0.0278988666	0.0360403652	0.0365688488	0.0347472924	0.0414644905	0.0401881146	0.0366894198	0.0415430267	0.0396203054	0.0368171021	0.0471777591	0.0442958629	0.0391993328	0.034938219	0.0372407956	0.0363636364	0.0362225097	0.0362092088	0.0365448505	0.0426638918	0.0494834149	0.0552050473	0.0530262453	0.0579088472	0.0612460401	0.0604626709	0.0642633229	0.0641430074	0.0623003195	0.0681576145	0.0728723404	0.06592827	0.0647519582	0.0598892803	0.0663900415	0.0621212121	0.0708898944	0.0726817043	0.0767666497	0.0778503265	0.0567620928	0.0705128205	0.0779904306	0.0759849906	0.0701262272	 
Chad	0.1257193448	0.1222596965	0.1198644642	0.1189862543	0.1223334785	0.1038444543	0.1001329198	0.1118598383	0.1125343092	0.1130558184	0.1043005437	0.1022908897	0.1098527746	0.1116096467	0.1027874564	0.0985074627	0.1087990488	0.1037394451	0.1104441777	0.1100244499	0.1095975232	0.0963331262	0.1015772871	0.092020592	0.1059490085	0.1053604436	0.0959339263	0.0885714286	0.1083183722	0.1031553398	0.1361867704	0.1397139714	0.1501210654	0.1143146181	0.1640711902	0.1648291069	0.1899736148	0.1714145383	0.1825955734	0.2010282776	0.1921743437	0.200203252	0.1783596838	0.1742349457	0.1672405312	0.1618811881	0.1199601792	0.1362290227	0.1218172741	 
Chile	0.0008009612	0.0007898894	0.0007595898	0.0003872967	0.0003904725	0.0003776435	0.0007633588	0.0003772161	0.0007561437	0.0007584376	0.0007388253	0.0003673769	0	0	0	0.0003850597	0.0003912363	0.0003831418	0.0007535795	0.0014925373	0.0011119348	0.0011516315	0.0007880221	0.0007779074	0.0012101654	0.0012077295	0.0012077295	0.0016260163	0.0016006403	0.0015582392	0.0019215988	0.0022156573	0.0022115739	0.0021849964	0.0025389917	0.002160605	0.0025107604	0.0025062657	0.0024991075	0.0028208745	0.0024390244	0.0031034483	0.0031098825	0.0037709976	0.0037800687	0.0040581671	0.0047683924	0.004403794	0.0051510989	 
China	0.0303672316	0.028852459	0.030740276	0.033033033	0.0255982193	0.0321715818	0.031938326	0.0301650541	0.0288850376	0.0293957539	0.0292524377	0.0246036085	0.0268703899	0.025343189	0.0230487166	0.0213219616	0.0219321149	0.0208535403	0.0211844006	0.022833178	0.0244803695	0.0219166309	0.0208507089	0.0209703947	0.0242998353	0.024339934	0.0246103363	0.0236024845	0.0216486261	0.0219824141	0.0201646091	0.0211812627	0.0275699094	0.0292083013	0.0271375465	0.0260126347	0.0293901543	0.0292630058	0.0257153205	0.0278074866	0.0276988636	0.0254327093	0.0229519774	0.0234840519	0.0257033692	0.0225537821	0.024005487	0.0262184874	0.0267379679	 
China (Hong Kong SAR)	0.0243149363	0.0291970803	0.0298850575	0.0231035811	0.0184757506	0.0216236722	0.0279955207	0.0282199711	0.0233728875	0.0295961003	0.0233196159	0.0220338983	0.0236726412	0.0232240437	0.0206682742	0.0242818057	0.0195607412	0.023199446	0.022517912	0.0247507735	0.0263246709	0.0227424749	0.0167873601	0.0174113009	0.0173146031	0.0193610842	0.0149017121	0.0172090113	0.0210526316	0.0214578731	0.0173064821	0.019753886	0.0206218274	0.0178013741	0.0178957112	0.0228716645	0.0163671374	0.0175322527	0.0178041543	0.0174113009	0.0189109879	0.0189588689	0.0186355022	0.0175493576	0.0187149095	0.019236736	0.0182889027	0.0189382179	0.0173267327	 
China (Macao SAR)	0.03419767	0.0286478228	0.0306396017	0.0635042081	0.0282051282	0.0202391904	0.0209371884	0.026123302	0.0163132137	0.014001077	0.0179250407	0.0206966179	0.0159497342	0.0176106616	0.0136921624	0.0193171608	0.0148493848	0.014309076	0.0326375712	0.014461316	0.0181500873	0.013559322	0.0120886501	0.0154731918	0.0125045973	0.0103819058	0.0107899807	0.0156847743	0.0105186797	0.0131066242	0.0143988481	0.0173559823	0.0146520147	0.0209683568	0.0224760501	0.0221887928	0.0209627329	0.0168539326	0.0133874239	0.0170662332	0.0191616766	0.019921875	0.0190114068	0.0200803213	0.014941302	0.0203644159	0.0233545648	0.0206332266	0.0153243051	 
Colombia	0.0030627871	0.0030287733	0.0031678986	0.0035569106	0.0046511628	0.0052910053	0.0053078556	0.0068493151	0.0057651992	0.0051626226	0.0039761431	0.0034602076	0.0034246575	0.0033096927	0.0037771483	0.0031362007	0.0036182723	0.0035133948	0.0035587189	0.0047372954	0.0042444822	0.0047311828	0.0055178268	0.0055962118	0.0056942619	0.0052863436	0.0050675676	0.0047149593	0.0050483803	0.0058724832	0.0062682825	0.0081866558	0.0104627767	0.0158604282	0.0151280062	0.019470405	0.0159099728	0.0145098039	0.0119322556	0.0131578947	0.0104399702	0.0102739726	0.0079275198	0.0060859642	0.0061657033	0.006558642	0.0061373226	0.0060790274	0.00670347	 
Congo	0.0412272291	0.0511961722	0.0416267943	0.041392286	0.0394610202	0.0337972167	0.0348953141	0.0333998006	0.0388802488	0.0391949153	0.0466079751	0.0521042084	0.0586118252	0.059165346	0.0605605606	0.0534623218	0.0635	0.0518962076	0.0531809145	0.0474806202	0.0380434783	0.0494350282	0.0542340628	0.0531015038	0.054613936	0.0524822695	0.056174559	0.0505854801	0.0510252742	0.0530796194	0.0531062124	0.052815147	0.0537958773	0.0566514922	0.0506072874	0.0432349949	0.0427135678	0.0323529412	0.0362941738	0.0341171047	0.0336624776	0.0337328007	0.0305069538	0.0287992911	0.0319096711	0.0318501171	0.0310734463	0.0357142857	0.0342562177	 
Costa Rica	0.0025380711	0.0024813896	0.0024703557	0.0023752969	0.002299908	0.0046620047	0.0047664442	0.0036934441	0.0045578851	0.0053380783	0.0051948052	0.005560308	0.0059121622	0.0067198656	0.0070422535	0.0077900779	0.007278609	0.0077456176	0.0080385852	0.0093713393	0.0100321027	0.0095159288	0.008353222	0.006640625	0.0094840668	0.0064638783	0.0044960659	0.0040816327	0.0047952785	0.005107625	0.0044020543	0.0040560472	0.0025463805	0.0113056163	0.016955267	0.0169553999	0.0180412371	0.0087114338	0.0107181136	0.0253843404	0.0103608432	0.015585357	0.0153228749	0.0156136529	0.0146115467	0.0167539267	0.0147368421	0.0151515152	0.015503876	 
