GRAINS	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	
Bosnia and Herzegovina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6094347641	0.6069246436	0.6380484115	0.6087286528	0.5789839944	0.5788280997	0.5793650794	0.5626702997	0.5662263477	0.5334713596	0.5412495685	0.5169731259	0.4964285714	0.47474414	0.4672648721	0.4689339438	0.4606413994	0.4618134547	 
Botswana	0.5091093117	0.5217163789	0.5263691684	0.5282641321	0.5326683292	0.531587057	0.5537313433	0.5636896047	0.5387288977	0.5321867322	0.5466540999	0.5379568885	0.5413948821	0.5489043292	0.5518480493	0.533437014	0.5596790371	0.5298826041	0.5156327543	0.5129639044	0.5206445116	0.5126550868	0.5697172976	0.5077062557	0.5454545455	0.5714944649	0.5371219065	0.5090909091	0.5011853959	0.4654002714	0.4144144144	0.4061075661	0.4455205811	0.4974828375	0.4846822131	0.4787714544	0.4748035136	0.4773820982	0.4523470839	0.4327062229	0.4495114007	0.4287769784	0.438036225	0.4219178082	0.424021838	0.4581005587	0.4509986066	0.4381609195	0.4374425023	 
Brazil	0.3783416402	0.3785808726	0.3641231593	0.3778741866	0.3483676976	0.3678556081	0.3525938423	0.3493485342	0.3570840198	0.351936693	0.3433759802	0.3195315767	0.3647058824	0.3517770598	0.35022115	0.3722685737	0.3675548589	0.3627602159	0.3640740741	0.3521335807	0.3643321852	0.3640151515	0.3772064467	0.3717701504	0.3695238095	0.3534901082	0.3586715867	0.3540740741	0.3357637623	0.3400884304	0.3286486486	0.3295988435	0.3359797907	0.3259864913	0.3071174377	0.3108917871	0.309365135	0.3116883117	0.3131772108	0.293974225	0.308411215	0.3044816969	0.3254978779	0.3208590953	0.3282268579	0.314646792	0.3087855297	0.3012314493	0.3025608599	 
Brunei Darussalam	0.5062240664	0.4936515998	0.5100704935	0.4768378651	0.523573201	0.496138119	0.5123022847	0.4792153199	0.511627907	0.4787535411	0.480565371	0.4592728946	0.4683235867	0.4726921218	0.4676258993	0.4519640322	0.4441782463	0.4387537345	0.4541952055	0.4653543307	0.449197861	0.4407658556	0.4194412553	0.434574272	0.4603119584	0.4853432282	0.4810749432	0.4678173319	0.4693295292	0.4706959707	0.480945122	0.4994671403	0.4917385057	0.4637883008	0.4884874247	0.4939675974	0.4810714286	0.4858356941	0.5066522834	0.5146051208	0.4908450704	0.4765868887	0.4475287745	0.4498153743	0.4564849306	0.4743633277	0.456445993	0.443197756	0.448943662	 
Bulgaria	0.5905934343	0.5797822706	0.5675510826	0.5587616471	0.5549692172	0.5450114679	0.5188405797	0.5052204176	0.5017271157	0.4984044096	0.4997162316	0.4935102394	0.4848572253	0.474797219	0.4627036296	0.456673168	0.4474585951	0.4445067265	0.4422755159	0.4449400613	0.4334153678	0.4248419896	0.4146611342	0.4045441951	0.4027816412	0.3955142232	0.4000543922	0.4043243243	0.3892413793	0.412084399	0.4318107131	0.3905991394	0.3941136671	0.4091225627	0.4057320442	0.4054744526	0.4022429907	0.3891450869	0.4072272411	0.4046941679	0.4	0.3995672557	0.3867102397	0.3844202899	0.3759647189	0.3805374001	0.3728005865	0.3960653304	0.3883564075	 
Burkina Faso	0.5796226415	0.5863914373	0.6342975207	0.638585209	0.6469465649	0.6310057655	0.6395715186	0.6258588382	0.656893325	0.6448900388	0.6355876559	0.6477039068	0.668989547	0.6386036961	0.6318936877	0.6426292278	0.6314285714	0.6105129829	0.6059701493	0.6177976953	0.5860465116	0.6163069544	0.6005040958	0.6054333765	0.5935147655	0.6026457619	0.6427865613	0.6297029703	0.655651341	0.6612021858	0.6824899239	0.6537117904	0.6495023799	0.6370623399	0.6511130137	0.6332905434	0.6477469671	0.6443276391	0.6371794872	0.6636442142	0.6452166452	0.6301369863	0.6386993175	0.6408310028	0.6471782379	0.6553341149	0.6627312082	0.6460348162	0.6499429875	 
Cabo Verde	0.6174863388	0.5385612443	0.5269993165	0.5501253133	0.5409535452	0.549154665	0.5548743102	0.600256246	0.5616355983	0.5930162553	0.5698795181	0.5729822553	0.5725900116	0.568790947	0.5765870705	0.6276150628	0.6217986897	0.5900922778	0.5916156382	0.6220095694	0.5787594824	0.5729216152	0.5879332478	0.5667930889	0.5686009897	0.5646315789	0.4870506378	0.4801961524	0.5200648561	0.5014799154	0.5057471264	0.5051958433	0.5307125307	0.4672435105	0.4378543393	0.4459400782	0.4924860455	0.4722580645	0.4658703072	0.4789222077	0.4637989779	0.4582083155	0.4784968685	0.4693053312	0.4697029703	0.4488435907	0.4448669202	0.4308880309	0.422508526	 
Cambodia	0.822758259	0.8217716115	0.8221649485	0.7909900471	0.7876106195	0.7878162106	0.7856049005	0.7842551071	0.7880597015	0.8115662651	0.811439651	0.8258706468	0.8198757764	0.8280590717	0.8106918239	0.8066006601	0.8124183007	0.8421052632	0.8542183623	0.8385944014	0.829954955	0.8476454294	0.8373333333	0.8518918919	0.8379888268	0.8289251548	0.8384210526	0.7931923672	0.8343982961	0.8313502328	0.8335824614	0.8066896212	0.8190805734	0.8152334152	0.8175110674	0.7916666667	0.7841269841	0.7936105477	0.7768554688	0.7735670298	0.7486162362	0.7274336283	0.7092920354	0.6864555849	0.7000860585	0.6894226717	0.6900167785	0.6811171321	0.6785566155	 
Cameroon	0.4583956153	0.443452381	0.4365853659	0.4250363901	0.4376278119	0.4246778989	0.391025641	0.397993311	0.4343575419	0.4069444444	0.3983776476	0.3817132712	0.376118068	0.3664675768	0.3729472774	0.3779249448	0.3817777778	0.3855855856	0.3873833852	0.3748314607	0.3610594796	0.3533519553	0.3355418836	0.3453273363	0.3287536801	0.3508102955	0.3847320526	0.4015424165	0.4077038519	0.3839598997	0.3844208397	0.4145402022	0.3856638062	0.3783783784	0.3815920398	0.3849226161	0.3795938104	0.3810902074	0.388252149	0.3724269986	0.3978444236	0.3752860412	0.3813827384	0.3813369224	0.380078637	0.3783668234	0.3744716822	0.3765913758	0.3784876668	 
Canada	0.2238061297	0.2240590925	0.2384403037	0.2113733906	0.2404109589	0.2103637612	0.2122241087	0.2132604238	0.2154362416	0.2148900169	0.205610674	0.2130197682	0.2117527862	0.2069313594	0.2147324531	0.2155371901	0.2112629124	0.206284153	0.2065663475	0.2121520706	0.191445326	0.2134641407	0.2114658428	0.2141900937	0.2177206851	0.2102697433	0.2120728202	0.2197547232	0.2171052632	0.2185846561	0.2155314248	0.2104752667	0.2181992951	0.2233312539	0.220767072	0.2289935365	0.2409816677	0.2384548359	0.2495697074	0.2468607306	0.2456490728	0.2468121281	0.2410764873	0.2451923077	0.249070632	0.2535898909	0.251579552	0.2485515643	0.2533254508	 
